id,title,url,source,published_date,author,content,disaster_keywords_found,indonesia_location_keywords_found,event_score,rejection_reason,scraped_at,clean_status,clean_reason,disaster_type,is_indonesia_event
kompas.com_d40d264b544e,Banjir Kubar Mulai Ganggu Mobilitas Warga,https://regional.kompas.com/read/2026/05/21/081614678/banjir-kubar-mulai-ganggu-mobilitas-warga,Kompas.com,2026-05-21T01:16:14+00:00,Kompas Cyber Media,"KUTAI BARAT, KOMPAS.com — Banjir yang mengepung Kabupaten Kutai Barat (Kubar), Kalimantan Timur, mulai menyulitkan masyarakat beraktivitas. Kampung Tering Lama, Kecamatan Tering, menjadi salah satu daerah paling terdampak banjir, di mana ketinggian air di sekitar permukiman warga mencapai 1,5 meter. Sungai Mahakam yang terus meluap membuat seluruh akses jalan utama dan kawasan perumahan lumpuh total. Kondisi ini memaksa warga yang memiliki rumah bertingkat mengungsi ke lantai dua, sementara warga lainnya terpaksa membangun panggung-panggung kayu darurat di dalam rumah agar barang berharga mereka tidak terendam air. Aktivitas sehari-hari warga kini sepenuhnya terganggu. Masalah paling krusial dihadapi keluarga yang tidak memiliki fasilitas perahu pribadi untuk mobilitas keluar rumah. Salah seorang warga Kampung Tering Lama, Paran, mengaku terpaksa menerobos banjir dengan berjalan kaki lantaran tak memiliki perahu. ""Masalahnya, bagi kami yang tidak punya perahu, susah sekali kalau mau keluar beli keperluan. Terpaksa harus jalan kaki menerobos arus banjir yang cukup deras."" ""Kami hanya bisa berharap air di hulu sungai bisa secepatnya surut,"" ungkap Paran. Kabid Kedaruratan dan Logistik Badan Penanggulangan Bencana Daerah (BPBD) Kubar, Suwalas Daya Guna menerangkan ketinggian air masih terus bertambah. ""Di badan jalan sudah satu meter, di dalam rumah warga bisa lebih,"" kata dia. Pihaknya juga mengaku sempat mengevakuasi salah satu lansia di Kampung Muyub Ulu, Kecamatan Tering. ""Kami lakukan evakuasi terhadap warga yang sudah berusia lanjut di Kampung Muyub karena yang bersangkutan sakit,"" kata dia. Sebelumnya, Bupati Kutai Barat, Frederick Edwin, sudah menetapkan status siaga darurat bencana hidrometeorologi untuk seluruh wilayah terdampak, Rabu (20/5/2026) sore. Frederick bilang, banjir yang telah menggenangi pemukiman selama tiga hari terakhir ini dipicu oleh tingginya curah hujan lokal serta hantaman banjir kiriman dari wilayah hulu Kabupaten Mahakam Ulu (Mahulu) yang hingga kini belum surut.","banjir, bpbd, evakuasi","bpbd, kabupaten, kalimantan",6,,2026-06-05T06:36:03.063434+00:00,rejected,duplicate_url_or_title,,False
kompas.com_317e917ec6d3,2 Orang Tewas akibat Banjir di Semarang,https://regional.kompas.com/read/2026/05/16/123613578/2-orang-tewas-akibat-banjir-di-semarang,Kompas.com,2026-05-16T05:36:13+00:00,Kompas Cyber Media,"SEMARANG, KOMPAS.com – Dua warga Kota Semarang, Jawa Tengah, meninggal akibat banjir yang melanda pada Jumat malam (15/5/2026). Tak hanya banjir, tanah longsor, tanggul jebol, pohon dan bangunan rusak, juga terjadi di Kecamatan Ngaliyan, Tugu, hingga Semarang Barat. Kasi Humas Polrestabes Semarang, Kompol Riki Fahmi Mubarok, mengatakan, pihaknya telah bergerak melakukan patroli, pemantauan debit air, membantu evakuasi warga, serta berkoordinasi dengan BPBD dan unsur terkait. Riki mengatakan, banjir akibat luapan Sungai Plumbon dan Sungai Silandak menggenangi sejumlah kawasan permukiman. ""Dari hasil pendataan sementara terdapat sejumlah titik banjir akibat luapan Sungai Plumbon dan Sungai Silandak, kerusakan infrastruktur, serta dua korban jiwa akibat terseret arus banjir,"" ujar Riki dalam keterangan tertulis, Sabtu (16/5/2026). Sementara itu di Kelurahan Wonosari, banjir merendam Perumahan Mangkang Indah di RW 01, RW 02, dan RW 03 dengan ketinggian air bervariasi antara 10 hingga 60 sentimeter. Lalu, di Kelurahan Ngaliyan, cuaca ekstrem menyebabkan sejumlah insiden, mulai dari sepeda motor hanyut di kawasan industri Candi, baliho puskesmas ambruk dan menimpa kendaraan, talud lapangan ambrol dan tebing longsor di Jalan Panembahan Senopati. Kemudian atap sekolah MI Baitul Huda rusak akibat terjangan angin, banjir di Kampung Klampisan, hingga longsor di beberapa titik talud sungai dan jalan. Kondisi serupa juga terjadi di Kelurahan Purwoyoso. Luapan Sungai Silandak menyebabkan banjir di sejumlah RT dan menyeret beberapa kendaraan roda dua milik warga. ""Namun dari lokasi inilah petugas juga menemukan seorang korban meninggal dunia berjenis kelamin perempuan yang diduga terseret arus banjir,"" bebernya. Korban bernama Kurnia SM (22), warga Kelurahan Purwosari, Kecamatan Semarang Utara. Dia ditemukan pada pukul 19.30 WIB di belakang rumah warga di Jalan Sriyatno, RT 02 RW 04, Kelurahan Purwoyoso, Kecamatan Ngaliyan. ""Berdasarkan hasil pendalaman petugas, korban diketahui saat itu tengah dalam perjalanan menuju tempat kerjanya di kawasan Candi, Kecamatan Ngaliyan, sebelum diduga terseret derasnya arus banjir,"" lanjutnya. Selain itu, di wilayah Kecamatan Tugu, tepatnya Kelurahan Mangkang Kulon, tanggul Sungai Plumbon dilaporkan jebol sepanjang kurang lebih 48 meter dan mengakibatkan banjir di permukiman warga. ""Dalam kejadian tersebut, seorang warga lanjut usia bernama Mbah Maryam (71) dilaporkan hanyut terseret arus,"" ungkapnya. Hingga malam hari, tim gabungan dari TNI, Polri, SAR, PMI, BPBD, dan relawan masih melakukan pencarian terhadap korban. Lalu sekitar pukul 07.00 WIB, jasad Maryam berhasil ditemukan. Sementara itu, di wilayah Semarang Barat, luapan Sungai Silandak juga mengakibatkan dua titik tanggul jebol di Kelurahan Kembangarum, merendam rumah warga, serta memaksa puluhan warga mengungsi ke posko darurat. Beberapa titik lain seperti Kalibanteng Kulon dan Krapyak juga turut terdampak. ""Kami mengimbau masyarakat tetap waspada terhadap potensi cuaca ekstrem susulan dan segera melapor apabila membutuhkan bantuan kepolisian,” ujar Riki.","banjir, bpbd, evakuasi, kerusakan, korban jiwa, longsor, tanah longsor","bpbd, jawa tengah, kota, semarang",19,,2026-06-05T06:36:04.975642+00:00,rejected,duplicate_url_or_title,,False
kompas.com_090ede4985ff,"Banjir Rendam Kawasan UTM Bangkalan, Akses Jalan Lumpuh",https://surabaya.kompas.com/read/2026/05/23/100427178/banjir-rendam-kawasan-utm-bangkalan-akses-jalan-lumpuh,Kompas.com,2026-05-23T03:04:27+00:00,Kompas Cyber Media,"BANGKALAN, KOMPAS.com — Hujan deras yang mengguyur wilayah Kabupaten Bangkalan, Jawa Timur, sejak Jumat (22/5/2026) petang mengakibatkan banjir di Jalan Raya Telang, Kecamatan Kamal. Akibatnya, akses utama di kawasan Universitas Trunojoyo Madura ( UTM ) lumpuh karena genangan air. Ketua BEM UTM, Mahrus Ali, mengatakan banjir di kawasan kampus tersebut kerap terjadi setiap kali hujan deras mengguyur wilayah itu. Menurut dia, padatnya bangunan dan minimnya saluran drainase menjadi penyebab utama air mudah menggenang. “Harapan kami, ini mendapat atensi khusus dari Pemkab Bangkalan agar memperhatikan drainase di sini,” ungkap Mahrus, Sabtu (23/5/2026). Mahrus mengatakan banjir tidak hanya membuat akses jalan lumpuh, tetapi juga merendam sejumlah rumah kos mahasiswa di sekitar kawasan kampus. Air bahkan masuk ke kamar kos hingga membuat kasur dan buku mahasiswa basah. “Beberapa teman-teman yang rumah kosnya di sekitar kampus juga menjadi korban banjir karena air cukup tinggi hingga masuk ke rumah-rumah,” jelasnya. Selain itu, banyak kendaraan milik mahasiswa mogok saat melintas karena air masuk ke bagian mesin motor. “Banyak yang mogok akhirnya tadi kami turun saling bantu teman-teman yang motornya mati di jalan,” tuturnya. Sementara itu, Kepala Bidang Kedaruratan dan Logistik BPBD Kabupaten Bangkalan, Arif Rahman Surya Atmaja, mengatakan pihaknya belum mengetahui jumlah warga terdampak banjir di kawasan tersebut. “Untuk jumlahnya belum tahu, masih belum ada laporan ke kami,” jelasnya. Arif mengingatkan masyarakat agar tetap waspada karena cuaca ekstrem masih berpotensi terjadi selama musim pancaroba. “Masyarakat kami imbau tetap waspada di masa pancaroba ini terhadap potensi cuaca ekstrem seperti hujan deras berdurasi singkat, angin kencang, puting beliung, yang muncul mendadak setelah cuaca terik di siang hari,” pungkasnya.","banjir, bpbd, puting beliung","bpbd, jawa timur, kabupaten",4,,2026-06-05T06:36:11.855942+00:00,rejected,duplicate_url_or_title,,False
detik.com_72c2f4ecc68f,"Pascabanjir Pidie Jaya, BNPP Tekankan Pentingnya Tanggul Sungai Permanen",https://news.detik.com/berita/d-8518739/pascabanjir-pidie-jaya-bnpp-tekankan-pentingnya-tanggul-sungai-permanen,Detik.com,2026-06-05T08-49-35Z,Hana Nushratu Uzma,"Dalam peninjauan tersebut, Komjen Pol Makhruzi menyoroti sejumlah dampak serius akibat banjir, mulai dari pendangkalan sungai akibat penumpukan lumpur, tumpukan sampah dan limbah kayu, keterbatasan akses air bersih, hingga sistem drainase yang belum berfungsi optimal. Menurutnya, kondisi ini diperparah oleh banjir susulan yang terjadi berulang kali. ""Akses-akses di dalam desa masih tertimbun lumpur. Kami diminta membantu membuka akses tersebut, dan memang sejak bencana kemarin sudah terjadi sekitar 10 kali banjir susulan,"" ujar Komjen Pol Makhruzi, dalam keterangan tertulis, Jumat (5/6/2026). ""Ini tentu membuat pekerjaan penanganan menjadi bertambah,"" sambungnya. Komjen Pol Makhruzi juga menekankan pentingnya penanganan jangka panjang melalui penguatan infrastruktur pengendali banjir. Menurutnya, kondisi bantaran sungai yang dangkal dan tanggul yang jebol menjadi penyebab utama banjir berulang. ""Kami berharap ini menjadi perhatian bersama dengan Kementerian Pekerjaan Umum. Tanah hasil galian dari rumah warga sementara bisa dimanfaatkan sebagai tanggul darurat, namun ke depan perlu dibangun tanggul permanen agar desa-desa ini benar-benar aman,"" katanya Lebih lanjut, ia menjelaskan BNPP telah memberikan dukungan konkret dalam penanganan pascabencana di Kabupaten Pidie Jaya. Dukungan tersebut meliputi pembersihan jalan umum, pembukaan akses jalan yang tertutup lumpur, serta pembersihan sampah dan limbah sisa banjir. Peninjauan lapangan ini merupakan tindak lanjut arahan langsung Menteri Dalam Negeri RI (Mendagri) Tito Karnavian selaku Kepala Satuan Tugas Percepatan Rehabilitasi dan Rekonstruksi (Satgas PRR) Pascabencana Sumatera, guna memastikan penanganan pascabencana di daerah terdampak berjalan terpadu, cepat, dan tepat sasaran. Dalam pelaksanaannya, BNPP mengerahkan alat berat berupa ekskavator dan dump truck, serta melibatkan warga setempat sebagai pekerja. Selain itu, dukungan tambahan berupa pengoperasian ekskavator dan dump truck selama lima hari, serta penggunaan mesin pemotong kayu juga disiapkan untuk mempercepat proses pemulihan. Sebagai penutup, Komjen Pol Makhruzi menegaskan upaya BNPP untuk terus bersinergi dengan kementerian/lembaga (K/L) terkait, pemerintah daerah (pemda), dan masyarakat dalam mendukung percepatan pemulihan pascabencana di Kabupaten Pidie Jaya. Tonton juga video ""BNPP Sebut Ada 3 Desa di Nunukan Sebagian Masuk Malaysia""",banjir,"kabupaten, ri, sumatera",5,,2026-06-05T06:36:14.006016+00:00,rejected,duplicate_url_or_title,,False
detik.com_0957c4543f73,250 KK di Kampung Bugis Mataram Terdampak Banjir Rob,https://www.detik.com/bali/nusra/d-8518505/250-kk-di-kampung-bugis-mataram-terdampak-banjir-rob,Detik.com,2026-06-05T07-00-41Z,Nathea Citra,"Sebanyak 250 kepala keluarga (KK) Kampung Bugis terdampak banjir rob yang terjadi di pesisir pantai Kota Mataram, Nusa Tenggara Barat (NTB). Banjir rob tersebut terjadi sejak Rabu (3/6/2026). ""Ada sekitar 200 hingga 250 KK yang terdampak akibat banjir rob. Ketinggian airnya berkisar 50 sentimeter (cm) yang sampai darat,"" kata Kepala Pelaksana (Kalak) BPBD Mataram, Budi Wartono, saat dikonfirmasi, Kamis (4/6/2026). BPBD meminta masyarakat tetap waspada dan segera melapor apabila kondisi banjir rob semakin parah. ""Jika terjadi hal-hal yang lebih dari itu, segera lapor untuk segera kami tindaklanjuti,"" sambungnya. Menurut Budi, banjir rob kali ini hanya merendam area pekarangan rumah warga dan sejumlah ruas jalan di kawasan Kampung Bugis. Ketinggian genangan di jalan rata-rata mencapai mata kaki orang dewasa. ""Potensi gelombang tinggi ini diperkiraan masih akan berlangsung dalam beberapa hari ke depan. Kami sudah mengeluarkan imbauan sampai 6 Juni mendatang. Kami minta masyarakat tetap waspada khususnya yang di daerah pesisir,"" terangnya. Sementara itu, BMKG Stasiun Meteorologi Zainuddin Abdul Madjid mengeluarkan peringatan dini terkait potensi angin kencang yang diperkirakan terjadi pada 4-6 Juni 2026. Masyarakat diimbau untuk selalu berhati-hati dengan dampak bencana yang ditimbulkan seperti banjir, banjir bandang, tanah longsor, genangan air, angin kencang, kilat/petir, berkurangnya jarak pandang, hingga pohon tumbang. BMKG juga mengingatkan nelayan, operator transportasi laut, pelaku wisata bahari, serta masyarakat yang beraktivitas di kawasan pesisir agar meningkatkan kewaspadaan terhadap potensi gelombang tinggi yang mencapai lebih dari 2 meter. Gelombang laut diperkirakan dapat mencapai lebih dari dua meter di sejumlah perairan NTB, seperti Selat Lombok bagian utara dan selatan, Selat Alas bagian utara dan selatan, perairan selatan Sumbawa hingga Selat Sape bagian selatan, serta Samudra Hindia selatan NTB.","banjir, bpbd, gelombang tinggi, longsor, tanah longsor","bpbd, kota, mataram, ntb, nusa tenggara barat",4,,2026-06-05T06:36:16.179251+00:00,rejected,duplicate_url_or_title,,False
kompas.com_d40d264b544e,Banjir Kubar Mulai Ganggu Mobilitas Warga,https://regional.kompas.com/read/2026/05/21/081614678/banjir-kubar-mulai-ganggu-mobilitas-warga,Kompas.com,2026-05-21T01:16:14+00:00,Kompas Cyber Media,"KUTAI BARAT, KOMPAS.com — Banjir yang mengepung Kabupaten Kutai Barat (Kubar), Kalimantan Timur, mulai menyulitkan masyarakat beraktivitas. Kampung Tering Lama, Kecamatan Tering, menjadi salah satu daerah paling terdampak banjir, di mana ketinggian air di sekitar permukiman warga mencapai 1,5 meter. Sungai Mahakam yang terus meluap membuat seluruh akses jalan utama dan kawasan perumahan lumpuh total. Kondisi ini memaksa warga yang memiliki rumah bertingkat mengungsi ke lantai dua, sementara warga lainnya terpaksa membangun panggung-panggung kayu darurat di dalam rumah agar barang berharga mereka tidak terendam air. Aktivitas sehari-hari warga kini sepenuhnya terganggu. Masalah paling krusial dihadapi keluarga yang tidak memiliki fasilitas perahu pribadi untuk mobilitas keluar rumah. Salah seorang warga Kampung Tering Lama, Paran, mengaku terpaksa menerobos banjir dengan berjalan kaki lantaran tak memiliki perahu. ""Masalahnya, bagi kami yang tidak punya perahu, susah sekali kalau mau keluar beli keperluan. Terpaksa harus jalan kaki menerobos arus banjir yang cukup deras."" ""Kami hanya bisa berharap air di hulu sungai bisa secepatnya surut,"" ungkap Paran. Kabid Kedaruratan dan Logistik Badan Penanggulangan Bencana Daerah (BPBD) Kubar, Suwalas Daya Guna menerangkan ketinggian air masih terus bertambah. ""Di badan jalan sudah satu meter, di dalam rumah warga bisa lebih,"" kata dia. Pihaknya juga mengaku sempat mengevakuasi salah satu lansia di Kampung Muyub Ulu, Kecamatan Tering. ""Kami lakukan evakuasi terhadap warga yang sudah berusia lanjut di Kampung Muyub karena yang bersangkutan sakit,"" kata dia. Sebelumnya, Bupati Kutai Barat, Frederick Edwin, sudah menetapkan status siaga darurat bencana hidrometeorologi untuk seluruh wilayah terdampak, Rabu (20/5/2026) sore. Frederick bilang, banjir yang telah menggenangi pemukiman selama tiga hari terakhir ini dipicu oleh tingginya curah hujan lokal serta hantaman banjir kiriman dari wilayah hulu Kabupaten Mahakam Ulu (Mahulu) yang hingga kini belum surut.","banjir, bpbd, evakuasi","bpbd, kabupaten, kalimantan",6,,2026-06-05T07:08:41.291047+00:00,rejected,duplicate_url_or_title,,False
kompas.com_317e917ec6d3,2 Orang Tewas akibat Banjir di Semarang,https://regional.kompas.com/read/2026/05/16/123613578/2-orang-tewas-akibat-banjir-di-semarang,Kompas.com,2026-05-16T05:36:13+00:00,Kompas Cyber Media,"SEMARANG, KOMPAS.com – Dua warga Kota Semarang, Jawa Tengah, meninggal akibat banjir yang melanda pada Jumat malam (15/5/2026). Tak hanya banjir, tanah longsor, tanggul jebol, pohon dan bangunan rusak, juga terjadi di Kecamatan Ngaliyan, Tugu, hingga Semarang Barat. Kasi Humas Polrestabes Semarang, Kompol Riki Fahmi Mubarok, mengatakan, pihaknya telah bergerak melakukan patroli, pemantauan debit air, membantu evakuasi warga, serta berkoordinasi dengan BPBD dan unsur terkait. Riki mengatakan, banjir akibat luapan Sungai Plumbon dan Sungai Silandak menggenangi sejumlah kawasan permukiman. ""Dari hasil pendataan sementara terdapat sejumlah titik banjir akibat luapan Sungai Plumbon dan Sungai Silandak, kerusakan infrastruktur, serta dua korban jiwa akibat terseret arus banjir,"" ujar Riki dalam keterangan tertulis, Sabtu (16/5/2026). Sementara itu di Kelurahan Wonosari, banjir merendam Perumahan Mangkang Indah di RW 01, RW 02, dan RW 03 dengan ketinggian air bervariasi antara 10 hingga 60 sentimeter. Lalu, di Kelurahan Ngaliyan, cuaca ekstrem menyebabkan sejumlah insiden, mulai dari sepeda motor hanyut di kawasan industri Candi, baliho puskesmas ambruk dan menimpa kendaraan, talud lapangan ambrol dan tebing longsor di Jalan Panembahan Senopati. Kemudian atap sekolah MI Baitul Huda rusak akibat terjangan angin, banjir di Kampung Klampisan, hingga longsor di beberapa titik talud sungai dan jalan. Kondisi serupa juga terjadi di Kelurahan Purwoyoso. Luapan Sungai Silandak menyebabkan banjir di sejumlah RT dan menyeret beberapa kendaraan roda dua milik warga. ""Namun dari lokasi inilah petugas juga menemukan seorang korban meninggal dunia berjenis kelamin perempuan yang diduga terseret arus banjir,"" bebernya. Korban bernama Kurnia SM (22), warga Kelurahan Purwosari, Kecamatan Semarang Utara. Dia ditemukan pada pukul 19.30 WIB di belakang rumah warga di Jalan Sriyatno, RT 02 RW 04, Kelurahan Purwoyoso, Kecamatan Ngaliyan. ""Berdasarkan hasil pendalaman petugas, korban diketahui saat itu tengah dalam perjalanan menuju tempat kerjanya di kawasan Candi, Kecamatan Ngaliyan, sebelum diduga terseret derasnya arus banjir,"" lanjutnya. Selain itu, di wilayah Kecamatan Tugu, tepatnya Kelurahan Mangkang Kulon, tanggul Sungai Plumbon dilaporkan jebol sepanjang kurang lebih 48 meter dan mengakibatkan banjir di permukiman warga. ""Dalam kejadian tersebut, seorang warga lanjut usia bernama Mbah Maryam (71) dilaporkan hanyut terseret arus,"" ungkapnya. Hingga malam hari, tim gabungan dari TNI, Polri, SAR, PMI, BPBD, dan relawan masih melakukan pencarian terhadap korban. Lalu sekitar pukul 07.00 WIB, jasad Maryam berhasil ditemukan. Sementara itu, di wilayah Semarang Barat, luapan Sungai Silandak juga mengakibatkan dua titik tanggul jebol di Kelurahan Kembangarum, merendam rumah warga, serta memaksa puluhan warga mengungsi ke posko darurat. Beberapa titik lain seperti Kalibanteng Kulon dan Krapyak juga turut terdampak. ""Kami mengimbau masyarakat tetap waspada terhadap potensi cuaca ekstrem susulan dan segera melapor apabila membutuhkan bantuan kepolisian,” ujar Riki.","banjir, bpbd, evakuasi, kerusakan, korban jiwa, longsor, tanah longsor","bpbd, jawa tengah, kota, semarang",19,,2026-06-05T07:08:47.274359+00:00,rejected,duplicate_url_or_title,,False
kompas.com_090ede4985ff,"Banjir Rendam Kawasan UTM Bangkalan, Akses Jalan Lumpuh",https://surabaya.kompas.com/read/2026/05/23/100427178/banjir-rendam-kawasan-utm-bangkalan-akses-jalan-lumpuh,Kompas.com,2026-05-23T03:04:27+00:00,Kompas Cyber Media,"BANGKALAN, KOMPAS.com — Hujan deras yang mengguyur wilayah Kabupaten Bangkalan, Jawa Timur, sejak Jumat (22/5/2026) petang mengakibatkan banjir di Jalan Raya Telang, Kecamatan Kamal. Akibatnya, akses utama di kawasan Universitas Trunojoyo Madura ( UTM ) lumpuh karena genangan air. Ketua BEM UTM, Mahrus Ali, mengatakan banjir di kawasan kampus tersebut kerap terjadi setiap kali hujan deras mengguyur wilayah itu. Menurut dia, padatnya bangunan dan minimnya saluran drainase menjadi penyebab utama air mudah menggenang. “Harapan kami, ini mendapat atensi khusus dari Pemkab Bangkalan agar memperhatikan drainase di sini,” ungkap Mahrus, Sabtu (23/5/2026). Mahrus mengatakan banjir tidak hanya membuat akses jalan lumpuh, tetapi juga merendam sejumlah rumah kos mahasiswa di sekitar kawasan kampus. Air bahkan masuk ke kamar kos hingga membuat kasur dan buku mahasiswa basah. “Beberapa teman-teman yang rumah kosnya di sekitar kampus juga menjadi korban banjir karena air cukup tinggi hingga masuk ke rumah-rumah,” jelasnya. Selain itu, banyak kendaraan milik mahasiswa mogok saat melintas karena air masuk ke bagian mesin motor. “Banyak yang mogok akhirnya tadi kami turun saling bantu teman-teman yang motornya mati di jalan,” tuturnya. Sementara itu, Kepala Bidang Kedaruratan dan Logistik BPBD Kabupaten Bangkalan, Arif Rahman Surya Atmaja, mengatakan pihaknya belum mengetahui jumlah warga terdampak banjir di kawasan tersebut. “Untuk jumlahnya belum tahu, masih belum ada laporan ke kami,” jelasnya. Arif mengingatkan masyarakat agar tetap waspada karena cuaca ekstrem masih berpotensi terjadi selama musim pancaroba. “Masyarakat kami imbau tetap waspada di masa pancaroba ini terhadap potensi cuaca ekstrem seperti hujan deras berdurasi singkat, angin kencang, puting beliung, yang muncul mendadak setelah cuaca terik di siang hari,” pungkasnya.","banjir, bpbd, puting beliung","bpbd, jawa timur, kabupaten",4,,2026-06-05T07:08:49.402537+00:00,rejected,duplicate_url_or_title,,False
detik.com_72c2f4ecc68f,"Pascabanjir Pidie Jaya, BNPP Tekankan Pentingnya Tanggul Sungai Permanen",https://news.detik.com/berita/d-8518739/pascabanjir-pidie-jaya-bnpp-tekankan-pentingnya-tanggul-sungai-permanen,Detik.com,2026-06-05T08-49-35Z,Hana Nushratu Uzma,"Dalam peninjauan tersebut, Komjen Pol Makhruzi menyoroti sejumlah dampak serius akibat banjir, mulai dari pendangkalan sungai akibat penumpukan lumpur, tumpukan sampah dan limbah kayu, keterbatasan akses air bersih, hingga sistem drainase yang belum berfungsi optimal. Menurutnya, kondisi ini diperparah oleh banjir susulan yang terjadi berulang kali. ""Akses-akses di dalam desa masih tertimbun lumpur. Kami diminta membantu membuka akses tersebut, dan memang sejak bencana kemarin sudah terjadi sekitar 10 kali banjir susulan,"" ujar Komjen Pol Makhruzi, dalam keterangan tertulis, Jumat (5/6/2026). ""Ini tentu membuat pekerjaan penanganan menjadi bertambah,"" sambungnya. Komjen Pol Makhruzi juga menekankan pentingnya penanganan jangka panjang melalui penguatan infrastruktur pengendali banjir. Menurutnya, kondisi bantaran sungai yang dangkal dan tanggul yang jebol menjadi penyebab utama banjir berulang. ""Kami berharap ini menjadi perhatian bersama dengan Kementerian Pekerjaan Umum. Tanah hasil galian dari rumah warga sementara bisa dimanfaatkan sebagai tanggul darurat, namun ke depan perlu dibangun tanggul permanen agar desa-desa ini benar-benar aman,"" katanya Lebih lanjut, ia menjelaskan BNPP telah memberikan dukungan konkret dalam penanganan pascabencana di Kabupaten Pidie Jaya. Dukungan tersebut meliputi pembersihan jalan umum, pembukaan akses jalan yang tertutup lumpur, serta pembersihan sampah dan limbah sisa banjir. Peninjauan lapangan ini merupakan tindak lanjut arahan langsung Menteri Dalam Negeri RI (Mendagri) Tito Karnavian selaku Kepala Satuan Tugas Percepatan Rehabilitasi dan Rekonstruksi (Satgas PRR) Pascabencana Sumatera, guna memastikan penanganan pascabencana di daerah terdampak berjalan terpadu, cepat, dan tepat sasaran. Dalam pelaksanaannya, BNPP mengerahkan alat berat berupa ekskavator dan dump truck, serta melibatkan warga setempat sebagai pekerja. Selain itu, dukungan tambahan berupa pengoperasian ekskavator dan dump truck selama lima hari, serta penggunaan mesin pemotong kayu juga disiapkan untuk mempercepat proses pemulihan. Sebagai penutup, Komjen Pol Makhruzi menegaskan upaya BNPP untuk terus bersinergi dengan kementerian/lembaga (K/L) terkait, pemerintah daerah (pemda), dan masyarakat dalam mendukung percepatan pemulihan pascabencana di Kabupaten Pidie Jaya. Tonton juga video ""BNPP Sebut Ada 3 Desa di Nunukan Sebagian Masuk Malaysia""",banjir,"kabupaten, ri, sumatera",5,,2026-06-05T07:08:54.321383+00:00,rejected,duplicate_url_or_title,,False
detik.com_0957c4543f73,250 KK di Kampung Bugis Mataram Terdampak Banjir Rob,https://www.detik.com/bali/nusra/d-8518505/250-kk-di-kampung-bugis-mataram-terdampak-banjir-rob,Detik.com,2026-06-05T07-00-41Z,Nathea Citra,"Sebanyak 250 kepala keluarga (KK) Kampung Bugis terdampak banjir rob yang terjadi di pesisir pantai Kota Mataram, Nusa Tenggara Barat (NTB). Banjir rob tersebut terjadi sejak Rabu (3/6/2026). ""Ada sekitar 200 hingga 250 KK yang terdampak akibat banjir rob. Ketinggian airnya berkisar 50 sentimeter (cm) yang sampai darat,"" kata Kepala Pelaksana (Kalak) BPBD Mataram, Budi Wartono, saat dikonfirmasi, Kamis (4/6/2026). BPBD meminta masyarakat tetap waspada dan segera melapor apabila kondisi banjir rob semakin parah. ""Jika terjadi hal-hal yang lebih dari itu, segera lapor untuk segera kami tindaklanjuti,"" sambungnya. Menurut Budi, banjir rob kali ini hanya merendam area pekarangan rumah warga dan sejumlah ruas jalan di kawasan Kampung Bugis. Ketinggian genangan di jalan rata-rata mencapai mata kaki orang dewasa. ""Potensi gelombang tinggi ini diperkiraan masih akan berlangsung dalam beberapa hari ke depan. Kami sudah mengeluarkan imbauan sampai 6 Juni mendatang. Kami minta masyarakat tetap waspada khususnya yang di daerah pesisir,"" terangnya. Sementara itu, BMKG Stasiun Meteorologi Zainuddin Abdul Madjid mengeluarkan peringatan dini terkait potensi angin kencang yang diperkirakan terjadi pada 4-6 Juni 2026. Masyarakat diimbau untuk selalu berhati-hati dengan dampak bencana yang ditimbulkan seperti banjir, banjir bandang, tanah longsor, genangan air, angin kencang, kilat/petir, berkurangnya jarak pandang, hingga pohon tumbang. BMKG juga mengingatkan nelayan, operator transportasi laut, pelaku wisata bahari, serta masyarakat yang beraktivitas di kawasan pesisir agar meningkatkan kewaspadaan terhadap potensi gelombang tinggi yang mencapai lebih dari 2 meter. Gelombang laut diperkirakan dapat mencapai lebih dari dua meter di sejumlah perairan NTB, seperti Selat Lombok bagian utara dan selatan, Selat Alas bagian utara dan selatan, perairan selatan Sumbawa hingga Selat Sape bagian selatan, serta Samudra Hindia selatan NTB.","banjir, bpbd, gelombang tinggi, longsor, tanah longsor","bpbd, kota, mataram, ntb, nusa tenggara barat",4,,2026-06-05T07:08:57.062561+00:00,rejected,duplicate_url_or_title,,False
